bq_idx,profile,hit,rank,mrr,ndcg,recall_tier2,top1_score,score_gap,lambda0
1185,q_verbose,False,,0.0,0.0932269768806895,0.046511627906976744,0.8151970111371073,0.02518382078112591,False
1186,q_medium,True,1.0,1.0,0.5234985065933707,0.06976744186046512,0.8402383002390617,0.06950821375978788,False
1186,q_sentence,True,1.0,1.0,0.5572106147360621,0.06976744186046512,0.8256582898594194,0.06531214487331305,False
1186,q_verbose,True,1.0,1.0,0.6217269147892787,0.09302325581395349,0.8429279370145075,0.07317522502146367,False
1187,q_medium,True,5.0,0.2,0.3222271086114325,0.047619047619047616,0.8257556522001526,0.08949643186796707,False
1187,q_sentence,True,10.0,0.1,0.39319892948935886,0.047619047619047616,0.8358017378649968,0.06567927172637755,False
1187,q_verbose,True,1.0,1.0,0.6291499656836013,0.06349206349206349,0.8392607583714523,0.10079323918446426,False
1188,q_medium,True,1.0,1.0,0.3776674911751736,0.015873015873015872,0.8415630394816606,0.08656268296841074,False
1188,q_sentence,True,1.0,1.0,0.43919770761768556,0.031746031746031744,0.8632842327699067,0.04711125196760069,False
1188,q_verbose,True,1.0,1.0,0.49097488079407103,0.047619047619047616,0.8917391611933518,0.11789385635581417,False
1189,q_medium,True,3.0,0.3333333333333333,0.16412975575583252,0.0,0.817467344181746,0.0768794405988873,False
1189,q_sentence,True,3.0,0.3333333333333333,0.16412975575583252,0.0,0.846977943046071,0.06423825596550581,False
1189,q_verbose,True,1.0,1.0,0.32825951151166505,0.0,0.8084548153399642,0.06547129364137638,False
1190,q_medium,True,2.0,0.5,0.3438834891687356,0.031746031746031744,0.8234889741653193,0.12089629718078365,False
1190,q_sentence,True,1.0,1.0,0.50679452884494,0.047619047619047616,0.8490130256595017,0.1052085503595348,False
1190,q_verbose,True,1.0,1.0,0.4433004720800766,0.031746031746031744,0.8699471732774664,0.1079750366123906,False
1191,q_medium,True,1.0,1.0,0.47476769172016264,0.047619047619047616,0.8081875027872909,0.08296008436051694,False
1191,q_sentence,True,10.0,0.1,0.32251209120301016,0.031746031746031744,0.805144772638029,0.043767089970310646,False
1191,q_verbose,True,1.0,1.0,0.5762020448789709,0.06349206349206349,0.8493941283994213,0.10039359120987235,False
1192,q_medium,True,2.0,0.5,0.3994784639878208,0.25,0.7765268201484073,0.0571432403360802,False
1192,q_sentence,True,1.0,1.0,0.5909478262486239,0.25,0.8459762296296165,0.05577636415215004,False
